Date and Time (UTC),Receiver,Transmitter,Transmitter Name,Transmitter Serial,Sensor Value,Sensor Unit,Station Name,Latitude,Longitude
28/07/10 8:32,VR2W-109032,A69-9002-2116,,,12,ADC,,,
28/07/10 8:34,VR2W-109032,A69-9002-2116,,,6,ADC,,,
29/07/10 0:00,VR2W-109034,A69-9002-2116,,,4,ADC,,,
29/07/10 0:03,VR2W-109034,A69-9002-2116,,,6,ADC,,,
29/07/10 0:04,VR2W-109034,A69-9002-2116,,,5,ADC,,,
13/08/10 12:57,VR2W-104852,A69-9002-2116,,,9,ADC,,,
13/08/10 13:03,VR2W-104861,A69-9002-2116,,,4,ADC,,,
13/08/10 13:06,VR2W-104852,A69-9002-2116,,,4,ADC,,,
13/08/10 13:08,VR2W-104852,A69-9002-2116,,,6,ADC,,,
13/08/10 13:10,VR2W-104852,A69-9002-2116,,,6,ADC,,,
13/08/10 13:11,VR2W-104860,A69-9002-2116,,,6,ADC,,,
13/08/10 13:12,VR2W-104850,A69-9002-2116,,,6,ADC,,,
13/08/10 13:12,VR2W-104860,A69-9002-2116,,,6,ADC,,,
13/08/10 13:15,VR2W-104850,A69-9002-2116,,,4,ADC,,,
13/08/10 13:15,VR2W-104860,A69-9002-2116,,,4,ADC,,,
13/08/10 13:17,VR2W-104850,A69-9002-2116,,,4,ADC,,,
13/08/10 13:18,VR2W-104860,A69-9002-2116,,,4,ADC,,,
13/08/10 13:19,VR2W-104850,A69-9002-2116,,,4,ADC,,,
13/08/10 13:22,VR2W-104850,A69-9002-2116,,,9,ADC,,,
13/08/10 13:26,VR2W-104860,A69-9002-2116,,,6,ADC,,,
13/08/10 13:27,VR2W-104850,A69-9002-2116,,,7,ADC,,,
13/08/10 13:29,VR2W-109050,A69-9002-2116,,,4,ADC,,,
13/08/10 13:29,VR2W-104845,A69-9002-2116,,,4,ADC,,,
13/08/10 13:32,VR2W-109050,A69-9002-2116,,,4,ADC,,,
13/08/10 13:36,VR2W-109050,A69-9002-2116,,,8,ADC,,,
13/08/10 13:38,VR2W-109050,A69-9002-2116,,,4,ADC,,,
13/08/10 13:49,VR2W-109050,A69-9002-2116,,,6,ADC,,,
13/08/10 13:52,VR2W-109050,A69-9002-2116,,,5,ADC,,,
13/08/10 13:53,VR2W-109050,A69-9002-2116,,,6,ADC,,,
13/08/10 13:55,VR2W-109050,A69-9002-2116,,,5,ADC,,,
13/08/10 14:06,VR2W-104856,A69-9002-2116,,,7,ADC,,,
13/08/10 14:10,VR2W-104856,A69-9002-2116,,,17,ADC,,,
31/08/10 17:35,VR2W-109041,A69-9002-2116,,,6,ADC,,,
31/08/10 17:39,VR2W-109041,A69-9002-2116,,,7,ADC,,,
30/09/10 16:37,VR2W-104856,A69-9002-2116,,,15,ADC,,,
30/09/10 16:39,VR2W-104856,A69-9002-2116,,,16,ADC,,,
30/09/10 16:40,VR2W-104856,A69-9002-2116,,,16,ADC,,,
30/09/10 16:43,VR2W-104856,A69-9002-2116,,,14,ADC,,,
30/09/10 16:45,VR2W-104856,A69-9002-2116,,,14,ADC,,,
30/09/10 17:23,VR2W-104844,A69-9002-2116,,,13,ADC,,,
30/09/10 17:25,VR2W-104844,A69-9002-2116,,,15,ADC,,,
30/09/10 17:27,VR2W-104844,A69-9002-2116,,,17,ADC,,,
30/09/10 17:30,VR2W-104844,A69-9002-2116,,,17,ADC,,,
